ref,value,part,location
C1,100uF,Capacitor,A2)
C2,1.5nF,Capacitor,A3)
C3,330uF,Capacitor,A3)
D1,1N5819,Diode,A3)
D2,POWER,LED,C5)
D3,PULSE,LED,C5)
JP1,A,1x3 Pin Array,C2)
JP2,B,1x3 Pin Array,C2)
JP3,C,1x3 Pin Array,C2)
JP4,D,1x3 Pin Array,C2)
JP5,PINS_2-7,2x6 Pin Array,C3)
JP6,PINS_8-12,2x5 Pin Array,C3)
JP7,MEGA_ABCD,2x4 Pin Array,D3)
JP8,MEGA_PULSE,2x4 Pin Array,D3)
JP9,Vin,1x2 Pin Array,C1)
L1,180uH,Inductor,A3)
P1,Vin,JST PH Connector,B1)
P2,Vin,1x2 Pin Array,B1)
P3,AUX_IN,2x4 Pin Array,D5)
P4,AUX_OUT,2x9 Pin Array,B5)
P5,HP_Q2347A_FFC,,A6)
P6,ICSP,2x3 Pin Array,B3)
R1,0.22,Resistor,A2)
R2,2K2,Resistor,A2)
R3,180,Resistor,A3)
R4,33K,Resistor,A3)
R5,300,Resistor,C5)
R6,300,Resistor,C5)
SHIELD1,ARDUINO_MEGA_SHIELD,,D3)
SW1,RESET,6mm Switch,B3)
U1,MC34063A,,A3)
U2,ULN2803AN,,B5)
U3,CD4067,,C6)
U4,ULN2803AN,,B6)
